period,BAT,COL,NG,NUC,OTH,SUN,WAT,WND,carbon_intensity
2025-03-04 00:00:00,51,20689,20190,10859,301,572,1784,18047,368.2576248741258
2025-03-04 01:00:00,14,22185,20950,10861,311,4,1546,19351,376.8378931695515
2025-03-04 02:00:00,-4,21821,20491,10864,310,2,1438,20437,369.3692856858504
2025-03-04 03:00:00,5,21247,20314,10865,294,1,964,19893,370.30156421999646
2025-03-04 04:00:00,53,21287,19960,10860,296,1,890,17892,381.0033829784247
2025-03-04 05:00:00,27,20743,19266,10861,310,1,882,16203,386.20502833379703
2025-03-04 06:00:00,-32,20054,17531,10862,305,1,834,15119,387.4972941212852
2025-03-04 07:00:00,-38,19172,16508,10859,298,1,798,15040,380.8870015006865
2025-03-04 08:00:00,-25,18556,15887,10861,299,2,781,14550,378.5063453235048
2025-03-04 09:00:00,-28,18554,15695,10854,294,1,781,14239,380.4702765358503
2025-03-04 10:00:00,-14,18514,15628,10852,285,1,781,14438,378.8344217574605
2025-03-04 11:00:00,-41,18898,15922,10853,293,2,803,14950,379.0045395590143
2025-03-04 12:00:00,25,19192,17283,10855,283,2,1864,16422,366.8658799259776
2025-03-04 13:00:00,-49,20678,18812,10859,281,8,1832,17591,373.2931497457579
2025-03-04 14:00:00,-51,21297,18682,10857,289,531,1497,18614,371.4666183278487
2025-03-04 15:00:00,-10,21242,18777,10858,302,2002,1066,17589,370.737615905104
2025-03-04 16:00:00,62,21537,19875,10855,270,2649,915,15103,383.53913507142255
2025-03-04 17:00:00,56,21456,19428,10848,275,2467,1005,15030,383.78232834974847
2025-03-04 18:00:00,45,21666,19658,10847,265,2496,859,15322,384.53301104584165
2025-03-04 19:00:00,-8,21424,19237,10842,262,2476,839,15856,380.3349875930521
2025-03-04 20:00:00,33,21606,19650,10843,252,2123,855,14959,388.29652593108744
2025-03-04 21:00:00,41,21588,19510,10845,273,1524,894,14832,391.8051419281511
